date,delta,sigma_distance,direction,macro_tag
1979-01-24,59.999999999999964,4.012019258869417,up,
1979-03-12,79.99999999999999,5.348426408351822,up,
1979-05-16,-66.00000000000001,-4.407345782869717,down,
1979-05-25,47.000000000000064,3.143354611705862,up,
1979-07-17,-54.00000000000009,-3.6055014931802813,down,
1979-07-30,49.00000000000002,3.2769953266540996,up,
1979-08-02,-57.00000000000003,-3.8059625656026377,down,
1979-08-07,-65.00000000000003,-4.340525425395598,down,
1979-08-13,49.00000000000002,3.2769953266540996,up,
1979-08-14,-58.00000000000001,-3.8727829230767563,down,
1979-09-07,56.00000000000005,3.7447378289729425,up,
1979-10-30,52.999999999999936,3.544276756550574,up,
1979-11-02,-47.000000000000064,-3.1377589908614385,down,
1979-11-26,49.00000000000002,3.2769953266540996,up,
1980-01-09,-71.00000000000009,-4.7414475702403225,down,
1980-01-31,-65.00000000000003,-4.340525425395598,down,
1980-02-15,-50.0,-3.338220063283795,down,
1980-03-07,76.99999999999996,5.1479653359294595,up,
1980-04-22,-45.00000000000011,-3.0041182759132012,down,
1980-05-29,-66.00000000000001,-4.407345782869717,down,
1980-07-01,64.00000000000006,4.279300688765904,up,
1980-07-11,54.99999999999989,3.677917471498812,up,
1980-08-12,-54.00000000000009,-3.6055014931802813,down,
1980-08-14,-69.99999999999993,-4.674627212766192,down,
1980-09-11,56.99999999999985,3.811558186447049,up,
1980-09-22,71.00000000000009,4.747043191084747,up,
1980-11-25,-80.00000000000007,-5.342830787507403,down,
1981-02-11,-52.99999999999976,-3.538681135706139,down,
1981-04-28,46.999999999999886,3.1433546117058504,up,
1981-05-25,-57.00000000000003,-3.8059625656026377,down,
1981-06-15,44.99999999999993,3.0097138967576127,up,
1981-07-16,64.99999999999986,4.346121046240011,up,
1981-08-14,80.00000000000007,5.348426408351828,up,
1981-08-19,71.00000000000009,4.747043191084747,up,
1981-10-05,-48.00000000000004,-3.2045793483355576,down,
1981-10-26,-46.000000000000085,-3.07093863338732,down,
1981-11-09,-50.00000000000018,-3.338220063283807,down,
1981-11-12,99.00000000000003,6.618013200360107,up,
1981-11-17,57.00000000000003,3.811558186447061,up,
1981-12-17,44.99999999999993,3.0097138967576127,up,
1982-01-15,57.99999999999983,3.8783785439211678,up,
1982-01-21,48.00000000000004,3.210174969179981,up,
1982-03-01,-72.99999999999969,-4.875088285188537,down,
1982-04-27,47.00000000000024,3.143354611705874,up,
1982-04-29,-107.00000000000003,-7.146980439308644,down,
1982-05-12,-62.0000000000001,-4.140064352973243,down,
1982-06-03,50.0,3.3438156841282183,up,
1982-07-07,-44.99999999999993,-3.0041182759131893,down,
1982-07-14,-63.00000000000008,-4.206884710447362,down,
1982-07-21,63.00000000000008,4.212480331291785,up,
1982-08-09,-70.00000000000011,-4.674627212766205,down,
1982-09-28,50.0,3.3438156841282183,up,
1982-10-19,-62.9999999999999,-4.2068847104473495,down,
1982-12-15,-54.99999999999989,-3.6723218506543884,down,
1982-12-21,47.000000000000064,3.143354611705862,up,
1983-01-06,-61.00000000000012,-4.073243995499125,down,
1983-02-15,50.0,3.3438156841282183,up,
1983-02-17,-45.99999999999991,-3.070938633387308,down,
1983-03-03,58.999999999999986,3.9451989013952984,up,
1983-04-20,64.00000000000006,4.279300688765904,up,
1983-06-23,-56.99999999999985,-3.8059625656026257,down,
1983-06-28,-44.99999999999993,-3.0041182759131893,down,
1983-07-08,44.99999999999993,3.0097138967576127,up,
1983-08-09,-50.99999999999998,-3.4050404207579135,down,
1983-09-09,-48.00000000000004,-3.2045793483355576,down,
1983-09-14,-47.000000000000064,-3.1377589908614385,down,
1983-09-19,-51.99999999999996,-3.471860778232032,down,
1983-09-27,56.00000000000005,3.7447378289729425,up,
1983-10-03,74.00000000000003,4.947504263507104,up,
1983-10-18,49.00000000000002,3.2769953266540996,up,
1983-10-28,47.000000000000064,3.143354611705862,up,
1983-12-22,60.99999999999994,4.078839616343536,up,
1984-01-24,57.00000000000003,3.811558186447061,up,
1984-02-01,-62.9999999999999,-4.2068847104473495,down,
1984-02-23,-49.00000000000002,-3.271399705809676,down,
1984-02-29,59.00000000000016,3.9451989013953104,up,
1984-03-30,45.00000000000011,3.0097138967576247,up,
1984-04-23,83.99999999999999,5.615707838248302,up,
1984-05-28,-45.00000000000011,-3.0041182759132012,down,
1984-05-29,45.00000000000011,3.0097138967576247,up,
1984-06-12,-58.999999999999986,-3.939603280550875,down,
1984-07-09,-75.0,-5.008729000136798,down,
1984-08-13,45.99999999999991,3.0765342542317318,up,
1984-09-04,-46.000000000000085,-3.07093863338732,down,
1984-09-11,-96.00000000000009,-6.411956507093326,down,
1984-09-18,100.99999999999997,6.751653915308344,up,
1984-11-28,65.00000000000003,4.346121046240023,up,
1984-12-12,-54.00000000000009,-3.6055014931802813,down,
1986-01-27,44.99999999999993,3.0097138967576127,up,
1987-01-19,-49.00000000000002,-3.271399705809676,down,
1987-01-20,-53.000000000000114,-3.5386811357061627,down,
1987-03-04,-60.99999999999994,-4.073243995499112,down,
1987-03-10,57.00000000000003,3.811558186447061,up,
1987-03-12,122.00000000000006,8.154881422264872,up,
1987-03-17,46.999999999999886,3.1433546117058504,up,
1987-05-08,-49.00000000000002,-3.271399705809676,down,
1987-07-31,61.99999999999992,4.145659973817654,up,
1987-09-25,143.99999999999994,9.624929286695508,up,
1987-10-22,-67.99999999999997,-4.540986497817955,down,Black Monday Era
1987-10-30,85.99999999999994,5.74934855319654,up,Black Monday Era
1987-11-25,-82.00000000000003,-5.476471502455641,down,Black Monday Era
1987-12-08,50.0,3.3438156841282183,up,
1988-01-01,-58.999999999999986,-3.939603280550875,down,
1988-02-10,78.00000000000011,5.21478569340359,up,
1988-02-12,50.99999999999998,3.410636041602337,up,
1988-05-18,-44.99999999999993,-3.0041182759131893,down,
1990-06-11,-47.99999999999996,-3.204579348335552,down,
1990-09-21,-44.99999999999993,-3.0041182759131893,down,
1990-12-05,54.0,3.6110971140246986,up,
1992-09-21,-46.99999999999997,-3.1377589908614323,down,
1993-03-17,58.00000000000001,3.8783785439211798,up,
1993-10-13,-46.000000000000085,-3.07093863338732,down,
1994-03-24,45.00000000000011,3.0097138967576247,up,
1994-04-26,58.00000000000001,3.8783785439211798,up,
1994-10-17,-49.00000000000002,-3.271399705809676,down,
1996-04-03,50.99999999999998,3.410636041602337,up,
2006-09-15,47.99999999999996,3.2101749691799752,up,
2006-09-19,-46.99999999999997,-3.1377589908614323,down,
2008-02-26,79.99999999999999,5.348426408351822,up,
2008-03-18,-52.99999999999998,-3.538681135706154,down,
2008-03-20,69.99999999999997,4.680222833610619,up,
2008-04-18,-70.00000000000001,-4.674627212766198,down,
2008-06-03,-85.00000000000003,-5.676932574878001,down,
2008-07-08,49.00000000000002,3.2769953266540996,up,
2008-07-10,-52.999999999999936,-3.5386811357061507,down,
2008-07-21,47.000000000000064,3.143354611705862,up,
2008-07-22,-55.00000000000003,-3.6723218506543973,down,
2008-07-25,52.99999999999998,3.5442767565505773,up,
2008-07-28,-46.0,-3.070938633387314,down,
2008-07-29,53.00000000000003,3.5442767565505804,up,
2008-08-28,-75.0,-5.008729000136798,down,
2008-09-29,73.99999999999997,4.9475042635071,up,GFC
2008-10-22,-52.0,-3.471860778232035,down,GFC
2008-11-18,-47.00000000000002,-3.137758990861436,down,GFC
2008-11-28,-99.0,-6.6124175795156805,down,GFC
2008-12-16,-81.0,-5.4096511449815186,down,GFC
2009-01-16,44.99999999999999,3.009713896757617,up,
2009-01-29,52.0,3.4774563990764586,up,
2009-02-16,46.0,3.0765342542317375,up,
2009-02-18,-56.999999999999986,-3.8059625656026346,down,
2009-02-20,50.99999999999998,3.410636041602337,up,
2009-03-27,-53.00000000000003,-3.538681135706157,down,
2009-05-20,49.00000000000002,3.2769953266540996,up,
2009-05-25,64.99999999999994,4.346121046240017,up,
2009-06-10,69.00000000000004,4.613402476136504,up,
2009-06-30,68.00000000000006,4.546582118662385,up,
2009-07-24,45.000000000000014,3.0097138967576185,up,
2009-07-31,-58.999999999999986,-3.939603280550875,down,
2009-08-28,-80.00000000000007,-5.342830787507403,down,
2009-08-31,-57.999999999999964,-3.8727829230767536,down,
2009-09-17,-61.999999999999964,-4.140064352973234,down,
2009-09-24,-82.00000000000003,-5.476471502455641,down,
2009-10-05,-46.0,-3.070938633387314,down,
2009-10-14,58.00000000000001,3.8783785439211798,up,
2009-10-20,144.99999999999997,9.69174964416963,up,
2009-11-03,-72.00000000000001,-4.8082679277144384,down,
2009-11-13,83.0,5.548887480774183,up,
2009-12-07,51.99999999999996,3.4774563990764555,up,
2009-12-24,-73.0,-4.875088285188557,down,
2015-10-27,-57.00000000000001,-3.8059625656026363,down,
2018-05-24,-68.00000000000001,-4.540986497817958,down,
2020-03-09,-63.0,-4.206884710447357,down,COVID Shock
2020-03-12,52.0,3.4774563990764586,up,COVID Shock
2020-03-18,103.0,6.885294630256586,up,COVID Shock
2020-03-26,50.0,3.3438156841282183,up,COVID Shock
2020-04-03,-67.0,-4.474166140343836,down,
2020-04-13,180.99999999999997,12.097282513237953,up,
2020-04-22,-48.0,-3.2045793483355545,down,
2020-04-23,62.000000000000014,4.1456599738176605,up,
2020-04-28,48.0,3.210174969179978,up,
2022-03-09,55.00000000000001,3.6779174714988194,up,Fed Hiking Cycle
2022-04-08,46.0,3.0765342542317375,up,
2022-07-12,57.00000000000003,3.811558186447061,up,
2022-09-01,46.0,3.0765342542317375,up,Fed Hiking Cycle
2022-09-22,50.99999999999998,3.410636041602337,up,Fed Hiking Cycle
2022-12-16,-46.0,-3.070938633387314,down,Fed Hiking Cycle
